record_id,date,division,product_line,region,units_sold,revenue_krw,cost_krw,subscription_ratio_pct,thinq_satisfaction_score
LG-2026-0001,2026-02-17,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),96,336000000,235301435,43.8,75.3
LG-2026-0002,2026-08-17,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),161,563500000,397683010,41.0,76.9
LG-2026-0003,2026-01-25,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),172,602000000,391111477,20.9,73.6
LG-2026-0004,2026-06-22,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),68,238000000,163664529,48.0,74.1
LG-2026-0005,2026-03-28,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),102,357000000,232321247,26.6,75.5
LG-2026-0006,2026-02-22,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),21,73500000,54517545,31.8,74.2
LG-2026-0007,2026-08-22,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),44,154000000,106422192,44.0,77.4
LG-2026-0008,2026-01-28,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),122,427000000,302179366,33.4,78.8
LG-2026-0009,2026-02-23,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),48,168000000,124013545,33.7,78.6
LG-2026-0010,2026-08-25,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),51,178500000,124566862,44.6,73.2
LG-2026-0011,2026-09-25,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),158,553000000,380602049,34.4,78.9
LG-2026-0012,2026-03-24,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),125,437500000,290632895,18.3,77.7
LG-2026-0013,2026-09-25,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),107,374500000,281092646,32.6,73.4
LG-2026-0014,2026-08-13,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),157,549500000,395457404,26.7,71.7
LG-2026-0015,2026-03-23,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),146,0,109135000,45.7,88.3
LG-2026-0016,2026-04-23,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),31,108500000,77884098,29.1,78.2
LG-2026-0017,2026-09-12,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),130,455000000,341239846,31.5,72.2
LG-2026-0018,2026-05-21,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),78,273000000,178678027,34.4,71.8
LG-2026-0019,2026-08-14,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),16,56000000,37946335,41.1,75.8
LG-2026-0020,2026-09-19,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),136,476000000,338222819,44.3,78.6
LG-2026-0021,2026-05-26,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),121,423500000,305015958,41.5,78.4
LG-2026-0022,2026-01-13,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),114,399000000,294046800,23.9,75.3
LG-2026-0023,2026-01-10,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),33,115500000,74632062,28.6,74.1
LG-2026-0024,2026-08-24,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),98,343000000,247623820,45.4,74.8
LG-2026-0025,2026-08-17,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),54,189000000,134369818,36.7,73.0
LG-2026-0026,2026-01-27,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),155,542500000,373185125,45.6,72.9
LG-2026-0027,2026-01-14,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),130,455000000,338598001,32.5,76.2
LG-2026-0028,2026-03-22,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),147,514500000,384513572,37.8,72.5
LG-2026-0029,2026-03-21,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),123,430500000,303055343,29.5,77.9
LG-2026-0030,2026-05-24,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),82,287000000,199657241,42.4,78.9
LG-2026-0031,2026-09-18,에어솔루션사업본부,Whisen & HVAC (에어솔루션),유럽(Europe),98,343000000,240895833,33.8,74.8
LG-2026-0032,2026-06-23,에어솔루션사업본부,Whisen & HVAC (에어솔루션),북미(North America),69,241500000,161264082,44.4,78.6
LG-2026-0033,2026-09-16,H&A사업본부,DIOS & Objet (주방가전),유럽(Europe),21,44100000,33315188,38.6,88.7
LG-2026-0034,2026-05-28,H&A사업본부,DIOS & Objet (주방가전),북미(North America),173,363300000,257553528,24.4,91.7
LG-2026-0035,2026-03-13,H&A사업본부,WashTower & Tromm (리빙가전),한국(Korea),157,376800000,239732563,46.6,87.6
LG-2026-0036,2026-02-19,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),106,254400000,184020520,27.4,85.4
LG-2026-0037,2026-05-23,H&A사업본부,DIOS & Objet (주방가전),한국(Korea),56,117600000,77731230,44.0,84.2
LG-2026-0038,2026-09-28,HE사업본부,OLED evo (TV),북미(North America),29,81200000,53400048,20.8,88.2
LG-2026-0039,2026-07-20,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),95,332500000,238455969,36.5,92.8
LG-2026-0040,2026-02-21,H&A사업본부,WashTower & Tromm (리빙가전),유럽(Europe),167,400800000,272602949,47.4,
LG-2026-0041,2026-07-10,H&A사업본부,DIOS & Objet (주방가전),한국(Korea),114,239400000,184704325,40.1,88.8
LG-2026-0042,2026-05-23,H&A사업본부,DIOS & Objet (주방가전),한국(Korea),99,207900000,153085140,45.5,94.4
LG-2026-0043,2026-02-15,HE사업본부,OLED evo (TV),한국(Korea),164,459200000,324537347,34.8,88.6
LG-2026-0044,2026-05-10,HE사업본부,OLED evo (TV),북미(North America),45,126000000,80653748,37.4,88.8
LG-2026-0045,2026-07-17,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),163,391200000,264824965,25.2,89.2
LG-2026-0046,2026-09-22,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),61,70150000,43811953,34.2,93.7
LG-2026-0047,2026-05-20,H&A사업본부,WashTower & Tromm (리빙가전),한국(Korea),52,124800000,77842492,32.4,87.7
LG-2026-0048,2026-09-18,신성장구독랩,StanbyME & Care (신가전·시제품),유럽(Europe),175,201250000,127655187,19.1,86.4
LG-2026-0049,2026-01-17,신성장구독랩,StanbyME & Care (신가전·시제품),한국(Korea),177,203550000,150774596,37.7,88.3
LG-2026-0050,2026-07-21,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),29,69600000,50714938,45.8,95.6
LG-2026-0051,2026-08-27,H&A사업본부,DIOS & Objet (주방가전),유럽(Europe),158,331800000,223961705,28.8,86.7
LG-2026-0052,2026-01-21,H&A사업본부,DIOS & Objet (주방가전),인도·아시아(APAC),163,342300000,222517031,22.6,92.5
LG-2026-0053,2026-03-13,H&A사업본부,WashTower & Tromm (리빙가전),인도·아시아(APAC),24,57600000,36488054,39.9,89.0
LG-2026-0054,2026-01-22,H&A사업본부,WashTower & Tromm (리빙가전),북미(North America),151,362400000,273963475,27.2,93.4
LG-2026-0055,2026-02-12,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),152,174800000,131087322,47.0,92.9
LG-2026-0056,2026-04-15,H&A사업본부,DIOS & Objet (주방가전),유럽(Europe),114,239400000,169399070,40.1,88.2
LG-2026-0057,2026-01-25,신성장구독랩,StanbyME & Care (신가전·시제품),한국(Korea),90,103500000,68899184,29.7,85.8
LG-2026-0058,2026-09-14,신성장구독랩,StanbyME & Care (신가전·시제품),인도·아시아(APAC),106,121900000,78910945,23.4,91.0
LG-2026-0059,2026-01-21,HE사업본부,OLED evo (TV),유럽(Europe),22,61600000,43267763,37.3,95.9
LG-2026-0060,2026-03-13,H&A사업본부,DIOS & Objet (주방가전),북미(North America),109,228900000,149835791,36.3,86.1
LG-2026-0061,2026-05-13,HE사업본부,OLED evo (TV),한국(Korea),139,389200000,295728319,29.4,93.8
LG-2026-0062,2026-08-28,에어솔루션사업본부,Whisen & HVAC (에어솔루션),한국(Korea),136,476000000,304330685,42.9,91.0
LG-2026-0063,2026-05-18,HE사업본부,OLED evo (TV),한국(Korea),36,100800000,75060455,32.8,85.2
LG-2026-0064,2026-08-22,H&A사업본부,DIOS & Objet (주방가전),유럽(Europe),58,121800000,83946442,27.7,91.6
LG-2026-0065,2026-06-21,신성장구독랩,StanbyME & Care (신가전·시제품),한국(Korea),60,0,44850000,31.9,87.8
LG-2026-0066,2026-03-23,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),166,581000000,380008910,35.0,90.0
LG-2026-0067,2026-03-27,HE사업본부,OLED evo (TV),한국(Korea),99,277200000,186058172,31.3,95.4
LG-2026-0068,2026-05-28,H&A사업본부,DIOS & Objet (주방가전),한국(Korea),74,155400000,120522012,21.7,91.6
LG-2026-0069,2026-07-20,에어솔루션사업본부,Whisen & HVAC (에어솔루션),인도·아시아(APAC),177,619500000,423683513,27.9,91.4
LG-2026-0070,2026-01-22,신성장구독랩,StanbyME & Care (신가전·시제품),북미(North America),141,162150000,113938014,37.4,89.7
LG-2026-0071,2026-07-25,H&A사업본부,DIOS & Objet (주방가전),유럽(Europe),17,35700000,25326559,28.0,87.4
LG-2026-0072,2026-05-20,HE사업본부,OLED evo (TV),인도·아시아(APAC),101,282800000,177032599,21.6,87.0
